"roi","mean_1","mean_2","mean_3","mean_4"
"BL_LCA1",-8.447781473603891,-8.580219359128144,-8.567198583024995,-8.527066811692448
"BL_RCA1",-8.41568982272849,-8.59263182515949,-8.551534497762301,-8.508701130367761
"BL_LCA2_3",-7.370343808142292,-7.640307316046051,-7.584179396657351,-7.476556722742103
"BL_RCA2_3",-7.323154866691278,-7.595679637608287,-7.500871387571166,-7.447957550966856
"BL_LCA4_DG",-7.952273943573611,-8.232932944884103,-8.166079564372257,-8.05535203771731
"BL_RCA4_DG",-7.916854252539633,-8.186313482730903,-8.102454800592808,-8.038640384809979
"BL_Lfimbria",-10.193684131792219,-10.903307283480277,-11.244282548134215,-10.488294547514725
"BL_Rfimbria",-10.481550763488947,-10.911000733680945,-11.252147799926242,-10.80105866682531
"BL_Lhippocampal_fissure",-10.57960812428717,-10.951019387850353,-10.4923141338727,-10.449534732389276
"BL_Rhippocampal_fissure",-10.376027181986165,-10.71625820089224,-10.418710187186186,-10.317156939446463
"BL_Lpresubiculum",-8.142323431407355,-8.44560539842918,-8.473966573188243,-8.268137285873427
"BL_Rpresubiculum",-8.188149600300594,-8.422220247359766,-8.484873360649818,-8.310091178879414
"BL_Lsubiculum",-7.850925965587582,-8.084067536597422,-8.111955754210891,-7.930847219457012
"BL_Rsubiculum",-7.853391399318617,-8.090710628653484,-8.121940691477455,-7.9644686093682155
"BL_LHippocampus",-8.490853403723264,-8.700830290437219,-8.720300339716836,-8.535904377711597
"BL_RHippocampus",-8.410259900209395,-8.660835293431715,-8.647295222120166,-8.504184834973675
"BL_LAmygdala_Vol",-6.939142437497496,-7.302995304598976,-7.223873919434385,-7.145759775652381
"BL_RAmygdala_Vol",-6.901030983684797,-7.185885227348366,-7.1374293938075475,-7.105757227521613
"BL_LCaudate_Vol",-6.122398979793654,-6.194084370443116,-6.123425020769879,-6.101769855693304
"BL_RCaudate_Vol",-6.0808713278199145,-6.159209503388658,-6.100762813836456,-6.0752100354745355
"BL_LHippocampus_Vol",-5.985127110480192,-6.294719827633238,-6.266239141629107,-6.092667489687535
"BL_RHippocampus_Vol",-5.970959673426804,-6.264560257440023,-6.216849235500521,-6.100258092882921
"BL_Lbankssts_GVol",-6.52984130666855,-6.8152387221448425,-6.693005119802927,-6.5588704203946735
"BL_Rbankssts_GVol",-6.507841299133661,-6.801026874353199,-6.702887748709702,-6.575382364188548
"BL_Lcaudalanteriorcingulate_GVol",-6.560899783266552,-6.913397555400577,-6.602058624264627,-6.8297580254489585
"BL_Rcaudalanteriorcingulate_GVol",-5.58071025659588,-6.815829471605925,-5.707430912179106,-6.613058155825724
