"roi","select_roi","hemi"
"icv","BL_ICV","NA"
"ca1","BL_LCA1","L"
"ca1","BL_RCA1","R"
"ca2_3","BL_LCA2_3","L"
"ca2_3","BL_RCA2_3","R"
"ca4_d","BL_LCA4_DG","L"
"ca4_d","BL_RCA4_DG","R"
"fimbria","BL_Lfimbria","L"
"fimbria","BL_Rfimbria","R"
"hippocampal_fissure","BL_Lhippocampal_fissure","L"
"hippocampal_fissure","BL_Rhippocampal_fissure","R"
"presubiculum","BL_Lpresubiculum","L"
"presubiculum","BL_Rpresubiculum","R"
"subiculum","BL_Lsubiculum","L"
"subiculum","BL_Rsubiculum","R"
"hippocampus","BL_LHippocampus","L"
"hippocampus","BL_RHippocampus","R"
"amygdala","BL_LAmygdala_Vol","L"
"amygdala","BL_RAmygdala_Vol","R"
"caudate","BL_LCaudate_Vol","L"
"caudate","BL_RCaudate_Vol","R"
"hippocampus","BL_LHippocampus_Vol","L"
"hippocampus","BL_RHippocampus_Vol","R"
"bankssts","BL_Lbankssts_GVol","L"
"bankssts","BL_Rbankssts_GVol","R"
"caudalanteriorcingulate","BL_Lcaudalanteriorcingulate_GVol","L"
"caudalanteriorcingulate","BL_Rcaudalanteriorcingulate_GVol","R"
"caudalmiddlefrontal","BL_Lcaudalmiddlefrontal_GVol","L"
"caudalmiddlefrontal","BL_Rcaudalmiddlefrontal_GVol","R"
"cuneus","BL_Lcuneus_GVol","L"
"cuneus","BL_Rcuneus_GVol","R"
"entorhinal","BL_Lentorhinal_GVol","L"
"entorhinal","BL_Rentorhinal_GVol","R"
"fusiform","BL_Lfusiform_GVol","L"
"fusiform","BL_Rfusiform_GVol","R"
"inferiorparietal","BL_Linferiorparietal_GVol","L"
"inferiorparietal","BL_Rinferiorparietal_GVol","R"
"inferiortemporal","BL_Linferiortemporal_GVol","L"
"inferiortemporal","BL_Rinferiortemporal_GVol","R"
"isthmuscingulate","BL_Listhmuscingulate_GVol","L"
"isthmuscingulate","BL_Risthmuscingulate_GVol","R"
"lateraloccipital","BL_Llateraloccipital_GVol","L"
"lateraloccipital","BL_Rlateraloccipital_GVol","R"
"lateralorbitofrontal","BL_Llateralorbitofrontal_GVol","L"
"lateralorbitofrontal","BL_Rlateralorbitofrontal_GVol","R"
"lingual","BL_Llingual_GVol","L"
"lingual","BL_Rlingual_GVol","R"
"medialorbitofrontal","BL_Lmedialorbitofrontal_GVol","L"
"medialorbitofrontal","BL_Rmedialorbitofrontal_GVol","R"
"middletemporal","BL_Lmiddletemporal_GVol","L"
"middletemporal","BL_Rmiddletemporal_GVol","R"
"parahippocampal","BL_Lparahippocampal_GVol","L"
"parahippocampal","BL_Rparahippocampal_GVol","R"
"paracentral","BL_Lparacentral_GVol","L"
"paracentral","BL_Rparacentral_GVol","R"
"parsopercularis","BL_Lparsopercularis_GVol","L"
"parsopercularis","BL_Rparsopercularis_GVol","R"
"parsorbitalis","BL_Lparsorbitalis_GVol","L"
"parsorbitalis","BL_Rparsorbitalis_GVol","R"
"parstriangularis","BL_Lparstriangularis_GVol","L"
"parstriangularis","BL_Rparstriangularis_GVol","R"
"pericalcarine","BL_Lpericalcarine_GVol","L"
"pericalcarine","BL_Rpericalcarine_GVol","R"
"postcentral","BL_Lpostcentral_GVol","L"
"postcentral","BL_Rpostcentral_GVol","R"
"posteriorcingulate","BL_Lposteriorcingulate_GVol","L"
"posteriorcingulate","BL_Rposteriorcingulate_GVol","R"
"precentral","BL_Lprecentral_GVol","L"
"precentral","BL_Rprecentral_GVol","R"
"precuneus","BL_Lprecuneus_GVol","L"
"precuneus","BL_Rprecuneus_GVol","R"
"rostralanteriorcingulate","BL_Lrostralanteriorcingulate_GVol","L"
"rostralanteriorcingulate","BL_Rrostralanteriorcingulate_GVol","R"
"rostralmiddlefrontal","BL_Lrostralmiddlefrontal_GVol","L"
"rostralmiddlefrontal","BL_Rrostralmiddlefrontal_GVol","R"
"superiorfrontal","BL_Lsuperiorfrontal_GVol","L"
"superiorfrontal","BL_Rsuperiorfrontal_GVol","R"
"superiorparietal","BL_Lsuperiorparietal_GVol","L"
"superiorparietal","BL_Rsuperiorparietal_GVol","R"
"superiortemporal","BL_Lsuperiortemporal_GVol","L"
"superiortemporal","BL_Rsuperiortemporal_GVol","R"
"supramarginal","BL_Lsupramarginal_GVol","L"
"supramarginal","BL_Rsupramarginal_GVol","R"
"frontalpole","BL_Lfrontalpole_GVol","L"
"frontalpole","BL_Rfrontalpole_GVol","R"
"temporalpole","BL_Ltemporalpole_GVol","L"
"temporalpole","BL_Rtemporalpole_GVol","R"
"transversetemporal","BL_Ltransversetemporal_GVol","L"
"transversetemporal","BL_Rtransversetemporal_GVol","R"
"insula","BL_Linsula_GVol","L"
"insula","BL_Rinsula_GVol","R"
